,True_Label,Predicted_Label
0,1,0
1,1,0
2,1,0
3,1,0
4,1,0
5,1,0
6,1,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,1,0
13,1,0
14,1,0
15,1,0
16,0,0
17,0,0
18,1,0
19,1,0
20,1,0
21,1,0
22,1,0
23,1,0
24,1,0
25,1,0
26,1,0
27,1,0
28,1,0
29,0,0
30,0,0
31,0,1
32,0,1
33,0,1
34,0,1
35,1,1
36,1,1
37,0,1
38,0,1
39,1,1
40,1,1
41,0,1
42,0,1
43,0,1
44,0,1
45,0,1
46,0,1
47,0,0
48,0,0
49,0,0
50,1,0
51,1,1
52,1,1
53,1,1
54,1,1
55,1,1
56,1,1
57,1,1
58,1,1
59,1,1
60,1,1
61,1,1
62,1,1
63,0,1
64,0,1
65,0,1
66,0,1
67,0,1
68,0,1
69,1,1
70,1,1
71,1,1
72,1,1
73,1,1
74,1,1
75,1,1
76,1,1
77,1,1
78,1,1
79,0,1
80,0,1
81,0,1
82,0,1
83,0,1
84,1,1
85,1,1
86,1,1
87,0,1
88,0,0
89,0,1
90,0,1
91,0,1
92,1,1
93,1,1
94,0,1
95,0,1
96,0,1
97,1,0
98,1,0
99,1,0
100,0,0
101,0,0
102,0,1
103,0,1
104,0,1
105,0,1
106,0,1
107,0,1
108,0,1
109,0,1
110,0,1
111,0,1
112,0,1
113,1,1
114,1,1
115,1,1
116,1,1
117,0,1
118,1,1
119,1,1
120,1,1
121,1,1
122,1,1
123,1,1
124,1,1
125,1,1
126,1,1
127,0,1
128,0,0
129,0,0
130,0,0
131,1,1
132,0,1
133,1,1
134,1,1
135,1,1
136,1,1
137,1,1
138,0,1
139,0,1
140,0,1
141,0,1
142,0,1
143,0,0
144,0,0
145,0,0
146,0,0
147,0,0
148,0,1
149,0,1
150,1,1
151,1,1
152,1,1
153,1,1
154,0,1
155,0,1
156,0,1
157,0,1
158,1,1
159,1,1
160,1,1
161,1,1
162,1,1
163,1,1
164,1,1
165,0,1
166,0,0
167,0,0
168,0,0
169,1,0
170,1,0
171,0,0
172,1,0
173,1,0
174,1,0
175,1,0
176,1,0
177,0,0
178,0,0
179,0,0
180,0,0
181,0,0
182,1,1
183,1,1
184,0,1
185,0,1
186,0,1
187,0,1
188,1,1
189,1,1
190,1,1
191,1,1
192,1,1
193,1,1
194,1,1
195,1,1
196,1,1
197,1,1
198,0,1
199,1,1
200,0,1
201,1,1
202,1,1
203,1,1
204,0,1
205,1,1
206,1,1
